name;area;price
Laphroaig Cairdeas Port Wood Edition;Islands;19,00
Laphroaig Cairdeas Ileach Edition;Islands;20,40
Laphroaig Quarter Cask;Islands;12,50
Laphroaig Triple Wood;Islands;14,10
Laphroaig An Cuan Mòr;Islands;23,70
Laphroaig Lore;Islands;20,80
Laphroaig Select;Islands;9,90
Laphroaig Brodir Port Wood;Islands;27,30
Laphroaig PX Cask;Islands;16,00
Ledaig 10yo;Islands;10,40
Ledaig 11yo 1993 SV;Islands;9,20
Ledaig 1994 CC;Islands;12,00
Ledaig 1996 CC;Islands;13,60
Peat Monster, Compass Box;Islands;11,10
Peat Chimney 8yo, Wemyss Malts;Islands;8,90
Smokey Joe;Islands;8,40
Talisker 10yo;Islands;13,40
Talisker 18yo;Islands;19,60
Talisker 1993 Distillers Edition;Islands;23,00
Talisker 57° North;Islands;20,20
Talisker Port Ruige;Islands;14,00
Talisker Storm;Islands;12,20
Talisker Skey;Islands;11,70
Talisker Distiller's Edition 2015;Islands;30,00
Talisker Distiller's Edition 2016;Islands;19,90
The Big Smoke;Islands;13,00
Tobermory 1798 est. 10yo;Islands;10,00
Tobermory 15yo;Islands;19,40
;;
;;
Glen Scotia 14yo;Campbeltown;7,50
Glen Scotia 15yo;Campbeltown;13,70
Glen Scotia Double Cask ;Campbeltown;14,00
Glen Scotia Victoriana;Campbeltown;19,60
Glen Scotia 1992 Macphails;Campbeltown;17,00
Glen Scotia 1990 Macphails;Campbeltown;10,00
Hazelburn 8yo;Campbeltown;12,90
Hazelburn 12yo;Campbeltown;13,60
Kilkerran Work In Progress 4;Campbeltown;10,10
Kilkerran Work In Progress 5 Bourbon Cask;Campbeltown;10,40
Kilkerran Work In Progress 5 Sherry Cask;Campbeltown;10,40
Longrow 10yo ;Campbeltown;16,20
Longrow 10yo Sherry Wood;Campbeltown;16,20
Longrow 11yo Rundlets & Kilderkins;Campbeltown;17,40
Longrow 14yo;Campbeltown;17,30
Longrow 18yo;Campbeltown;26,90
Longrow CV;Campbeltown;10,50
Longrow Red 11yo Australian Shiraz Cask;Campbeltown;15,60
Longrow Red 11yo Fresh Port Cask;Campbeltown;17,80
Springbank 10yo;Campbeltown;13,20
Springbank 12yo Anniversary Edition;Campbeltown;15,40
Springbank 12yo Calvados Wood;Campbeltown;15,60
Springbank 12yo Green;Campbeltown;15,80
Springbank 15yo;Campbeltown;18,80
Springbank 16yo Local Barley;Campbeltown;29,60
Springbank 18yo;Campbeltown;35,00
Springbank 21yo;Campbeltown;60,10
Springbank 30yo Limited Edition;Campbeltown;280,00
Springbank 37yo 1970 SV;Campbeltown;180,00
Springbank 9yo Marsala Cask;Campbeltown;14,00
;;
;;
Ailsa Bay Single Malt;Lowland;14,70
Auchentoshan 12yo;Lowland;9,90
Auchentoshan 15yo 1997 SV;Lowland;10,20
Auchentoshan American Oak;Lowland;10,10
Auchentoshan Solera;Lowland;34,90
Auchentoshan Springwood;Lowland;12,30
Auchestoshan Three wood;Lowland;13,70
Auchentoshan Valinch;Lowland;15,70
Auchentoshan Virgin Oak Batch #2;Lowland;21,80
Bladnoch 1993 C&C;Lowland;17,00
Girvan 25yo Single Grain;Lowland;23,00
Glenkinchie 12 yo;Lowland;11,30
Glenkinchie 1991 Distillers Edition;Lowland;12,50
Inverlen 1991 G&M;Lowland;19,80
Rosebank 25yo;Lowland;132,70
;;
;;
Bushmills;Irish;6,70
Bushmills 10yo;Irish;9,90
Bushmills Black Bush;Irish;7,80
Bushmills Single Cask Bourbon Barrel 1990;Irish;30,00
Bushmills Single Cask Rum Barrel 1988;Irish;40,00
Clontarf Classic Blend;Irish;6,70
